"artist","artist_id"
"John Coltrane And Paul Quinichette",802
"Bill Jennings",803
"Locatelli*",804
"Susi Lautenbacher*",805
"Mainz Chamber Orchestra*",806
"Gunter Kehr*",807
"J. Horenstein*",808
"Josef Schuster*",809
"Pyotr Ilyich Tchaikovsky",810
"Bobby Donaldson",811
"Rossini*",812
"Bamberg Symphony Orchestra*",813
"Willis Jackson Quintet",814
"Lem Winchester",815
"Bobby Brack Trio",816
"Hal Singer",817
"Handel*",818
"The Modern Jazz Disciples",819
"Wiener Volksopernorchester",820
"Michæl Gielen*",821
"Arnett Cobb",822
"Frédéric Chopin",823
"The Amazing Bud Powell*",824
"Arnett Cobb And Eddie "Lockjaw" Davis",825
"Johnny "Hammond" Smith*",826
"Members Of The Hungarian Quintet*",827
"Dvořák*",828
"Bettini And His Orchestra",829
"Hector Berlioz",830
"Musique Des Gardiens De La Paix De Paris*",831
"Désiré Dondeyne",832
"Buddy Tate",833
"Friederike Sailer",834
"Margarete Bence*",835
"Fritz Wunderlich",836
"Erich Wenk",837
"Swabian Chorale*",838
"Orchestra Of The 35th German Bach-Festival*",839
"Hans Grischkat",840
"Marian Williams*",841
"Bruckner*",842
"Symphony Orchestra Of The Southwest German Radio",843
"Billy Randall",844
"Phineas Newborn* | Paul Chambers (3)",845
"Trio*",846
"Oliver Nelson",847
"Orchestre Militaire",848
"The Engel Family And The Engel Children*",849
"Nina Simone",850
"The Strangers (10)",851
"Ike Quebec",852
"Sonny Red",853
"Horace Parlan",854
"Patty",855
"Peter",856
"Jimmy Smith At The Organ*",857
"Walt Gifford's New Yorkers",858
"The 3 Sounds*",859
"The Enchanters*",860
"Mr. B.*",861
"Norman Foster",862
"The Raymond Rasberry Singers",863
"Tina Brooks",864
"Peter Yorke And The Sapphire Strings*",865
"Josquin Des Pres*",866
"The Dessoff Choirs*",867
"Paul Boepple",868
"Al Sears",869
"The Propheteers",870
"Coleman Hawkins All Stars",871
"Joe Thomas (4)",872
"Vic Dickenson",873
"The Red Garland Trio + Eddie "Lockjaw" Davis",874
"Mildred Anderson",875
"The Swingville All-Stars*",876
"Taft Jordan",877
"Hilton Jefferson",878
"The Highwaymen*",879
"Eva Hölderlin",880
"Henry Hansen And His Orchestra*",881
"Horace Parlan Quintet",882
"Tampa Red",883
"Freddie Redd Quartet",884
"Lem Winchester Sextet",885
"Walter Kraft",886
"The Curtis Fuller Sextette*",887
"The John Wright Trio",888
"R. Strauss*",889
"The Boston Wind Ensemble",890
"Eric Simon",891
"Ray Bryant Trio",892
"Duke Pearson",893
"Gigi Gryce Quintet",894
"Telemann*",895
"The Telemann Society* Dir. R. Schulze*",896
"Larry Young",897
"Eddie "Lockjaw" Davis Quintet*",898
"Dud Bascomb",899
"Willie Dixon",900
"Memphis Slim",901
"Maria Tipo",902
"Lili Kraus",903
"Claude Hopkins",904
"Emmett Berry",905
"The Jack McDuff Quartet*",906
"Jack McDuff*",907
"Nappy Brown And The Gibralters",908
"Shakey Jake",909
"The Stars Of Faith",910
"The Prestige All-Stars*",911
"Etta Jones",912
"Eric Dolphy Quintet",913
"The Latin Jazz Quintet",914
"Roosevelt Sykes",915
"Willis Jackson",916
"Walter Klien",917
"Sonny Terry",918
"Lonnie Johnson (2)",919
"Vienna Pro Musica Orchestra",920
"Heinz Wallberg",921
"Jimmy Forrest",922
"The Frank Wess Quartet",923
"Brownie McGhee Sonny Terry*",924
"Al Casey",925
"King Curtis",926
"Curtis Jones",927
"Betty Roché",928
"Richard Williams",929
"John Coltrane And Donald Byrd",930
"Rex Stewart",931
"Blind Gary Davis",932
"Doug Watkins Quintet",933
"Gene Ammons Quartet",934
"Clifford Jordan",935
"Bobby Timmons",936
"Ed McCurdy",937
"Obray Ramsey",938
"Molly Scott",939
"Guy Carawan",940
"Cynthia Gooding",941
"Robert H. Beers*",942
"The Drinkard Singers",943
"Raymond Rasberry And The Rasberry Singers*",944
