"source","target","year","title","type"
"Dietrich Fischer-Dieskau", "Chorus Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Elfride Trötschel", "Diana Eutrati*","1949", "St. Matthew Passion (Unabridged)","master"
"Elfride Trötschel", "Friedrich Haertel","1949", "St. Matthew Passion (Unabridged)","master"
"Elfride Trötschel", "Helmut Krebs","1949", "St. Matthew Passion (Unabridged)","master"
"Elfride Trötschel", "Boys Choir Of St. Hedwig's Cathedral*","1949", "St. Matthew Passion (Unabridged)","master"
"Elfride Trötschel", "Orchestra Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Elfride Trötschel", "Chorus Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Diana Eutrati*", "Friedrich Haertel","1949", "St. Matthew Passion (Unabridged)","master"
"Diana Eutrati*", "Helmut Krebs","1949", "St. Matthew Passion (Unabridged)","master"
"Diana Eutrati*", "Boys Choir Of St. Hedwig's Cathedral*","1949", "St. Matthew Passion (Unabridged)","master"
"Diana Eutrati*", "Orchestra Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Diana Eutrati*", "Chorus Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Friedrich Haertel", "Helmut Krebs","1949", "St. Matthew Passion (Unabridged)","master"
"Friedrich Haertel", "Boys Choir Of St. Hedwig's Cathedral*","1949", "St. Matthew Passion (Unabridged)","master"
"Friedrich Haertel", "Orchestra Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Friedrich Haertel", "Chorus Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Helmut Krebs", "Boys Choir Of St. Hedwig's Cathedral*","1949", "St. Matthew Passion (Unabridged)","master"
"Helmut Krebs", "Orchestra Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Helmut Krebs", "Chorus Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Boys Choir Of St. Hedwig's Cathedral*", "Orchestra Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Boys Choir Of St. Hedwig's Cathedral*", "Chorus Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Orchestra Of The Berlin Radio*", "Chorus Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Fritz Lehmann", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Bach*", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Dietrich Fischer-Dieskau", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Elfride Trötschel", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Diana Eutrati*", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Friedrich Haertel", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Helmut Krebs", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Boys Choir Of St. Hedwig's Cathedral*", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Orchestra Of The Berlin Radio*", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Chorus Of The Berlin Radio*", "Rudy Van Gelder","1949", "St. Matthew Passion (Unabridged)","master"
"Beethoven*", "Akademie Kammerchor*","1950", "Mass In C Major, Opus 86, For Four Solo Voices, Chorus and Orchestra","master"
"Beethoven*", "Vienna symphony Orchestra* Conductor Prof. R. Moralt*","1950", "Mass In C Major, Opus 86, For Four Solo Voices, Chorus and Orchestra","master"
"Akademie Kammerchor*", "Vienna symphony Orchestra* Conductor Prof. R. Moralt*","1950", "Mass In C Major, Opus 86, For Four Solo Voices, Chorus and Orchestra","master"
"Beethoven*", "Rudy Van Gelder","1950", "Mass In C Major, Opus 86, For Four Solo Voices, Chorus and Orchestra","master"
"Akademie Kammerchor*", "Rudy Van Gelder","1950", "Mass In C Major, Opus 86, For Four Solo Voices, Chorus and Orchestra","master"
"Vienna symphony Orchestra* Conductor Prof. R. Moralt*", "Rudy Van Gelder","1950", "Mass In C Major, Opus 86, For Four Solo Voices, Chorus and Orchestra","master"
"Gluck*", "Alice Raveau","1950", "Orpheus And Eurydice ","master"
"Gluck*", "Rudy Van Gelder","1950", "Orpheus And Eurydice ","master"
"Alice Raveau", "Rudy Van Gelder","1950", "Orpheus And Eurydice ","master"
"Gene Ammons", "Sonny Stitt","1951", "Sonny Stitt vs Gene Ammons","release"
"Gene Ammons", "Rudy Van Gelder","1951", "Sonny Stitt vs Gene Ammons","release"
"Sonny Stitt", "Rudy Van Gelder","1951", "Sonny Stitt vs Gene Ammons","release"
"Weber*", "Friedrich Wuehrer*","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"Weber*", "Pro Musica Symphony Vienna*","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"Weber*", "Hans Swarowsky","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"Friedrich Wuehrer*", "Pro Musica Symphony Vienna*","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"Friedrich Wuehrer*", "Hans Swarowsky","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"Pro Musica Symphony Vienna*", "Hans Swarowsky","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"Weber*", "Rudy Van Gelder","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"Friedrich Wuehrer*", "Rudy Van Gelder","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"Pro Musica Symphony Vienna*", "Rudy Van Gelder","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"Hans Swarowsky", "Rudy Van Gelder","1953", "Piano Concertos / No. 1 In C Major, Op. 11  No. 2 In E Flat Major, Op. 32","master"
"J.J. Johnson", "Kai Winding","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
"J.J. Johnson", "Benny Green*","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
"J.J. Johnson", "Willie Dennis","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
"Kai Winding", "Benny Green*","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
"Kai Winding", "Willie Dennis","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
"Benny Green*", "Willie Dennis","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
"J.J. Johnson", "Rudy Van Gelder","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
"Kai Winding", "Rudy Van Gelder","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
"Benny Green*", "Rudy Van Gelder","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
"Willie Dennis", "Rudy Van Gelder","1953", "Debut Records' Jazz Workshop, Volume One: Trombone Rapport","master"
